station,intensity,year,month,day,hour,minute,intensity_equip,acceleration_max_comb
3720135,2,2016,12,28,21,39,17,00053
3720135,1,2017,01,05,02,54,09,00014
3720135,1,2017,02,28,16,49,14,00027
3720135,1,2017,07,20,09,12,10,00015
3720135,1,2017,08,02,02,02,08,00019
3720135,1,2017,09,27,05,23,10,00015
3720135,1,2017,10,06,23,57,14,00025
3720135,1,2018,02,26,01,29,09,00013
3720135,1,2018,05,25,21,14,07,00022
3720135,2,2018,07,31,17,43,21,00062
3720135,1,2018,08,11,06,12,08,00016
3720135,4,2019,06,18,22,22,39,00837
3720135,1,2019,06,19,00,57,07,00037
3720135,2,2019,08,04,19,23,20,00045
3720135,1,2019,08,18,19,07,11,00056
3720135,1,2019,12,04,19,35,07,00023
