station,intensity,year,month,day,hour,minute,intensity_equip,acceleration_max_comb
5903802,1,2010,04,10,16,41,05,00036
5903802,1,2010,04,17,05,35,07,00055
5903802,1,2010,05,13,20,02,07,00039
5903802,1,2010,07,23,14,26,07,00046
5903802,1,2010,10,12,04,43,06,00030
5903802,1,2010,10,30,11,09,11,00087
5903802,1,2011,01,16,20,33,06,00047
5903802,3,2011,06,04,01,57,25,00281
5903802,1,2011,06,16,23,32,05,00035
5903802,1,2011,07,05,19,19,05,00015
5903802,1,2011,07,31,12,30,06,00064
5903802,3,2011,11,21,19,16,30,00697
5903802,1,2011,11,22,02,41,05,00058
5903802,3,2011,11,25,04,35,28,00514
5903802,2,2011,11,25,04,52,20,00156
5903802,1,2012,01,01,19,47,06,00057
5903802,1,2012,03,25,13,52,05,00036
5903802,1,2012,04,02,16,39,09,00049
5903802,1,2012,06,20,02,32,09,00042
5903802,2,2012,09,08,10,41,17,00147
5903802,1,2012,10,27,04,45,06,00033
5903802,1,2012,12,22,15,16,11,00057
5903802,2,2013,01,08,20,19,16,00163
5903802,1,2013,04,13,05,33,11,00042
5903802,2,2013,12,25,16,01,15,00169
5903802,1,2013,12,25,19,16,09,00132
5903802,1,2014,01,06,07,06,12,00081
5903802,4,2014,03,14,02,07,41,02003
5903802,1,2014,03,14,03,47,07,00039
5903802,1,2014,03,22,20,06,09,00040
5903802,1,2014,05,21,10,12,09,00063
5903802,1,2014,05,21,16,47,12,00134
5903802,1,2014,08,02,20,06,07,00065
5903802,1,2014,08,03,01,10,06,00049
5903802,2,2014,08,14,07,52,18,00119
5903802,1,2014,09,23,12,32,07,00048
5903802,1,2014,10,16,04,40,05,00035
5903802,1,2014,11,01,19,37,12,00061
5903802,1,2015,02,03,14,08,09,00048
5903802,1,2015,04,26,06,17,11,00109
5903802,1,2015,05,30,20,27,05,00009
5903802,2,2015,07,13,02,52,22,00152
5903802,1,2016,01,21,07,14,09,00080
5903802,1,2016,04,14,21,27,05,00014
5903802,2,2016,04,16,01,25,20,00060
5903802,1,2016,04,16,01,47,07,00020
5903802,1,2016,07,01,14,40,07,00040
5903802,1,2016,08,15,13,37,09,00051
5903802,1,2016,08,23,12,27,08,00102
5903802,3,2016,10,21,14,07,30,00364
5903802,1,2016,10,21,14,30,05,00026
5903802,1,2016,10,21,14,51,10,00048
5903802,1,2016,10,21,14,53,13,00058
5903802,1,2016,12,13,22,00,06,00043
5903802,1,2018,01,09,05,52,13,00072
5903802,1,2018,02,19,03,32,08,00025
5903802,3,2018,04,09,01,32,27,00386
5903802,1,2018,04,09,01,56,09,00053
5903802,1,2018,04,09,02,04,05,00038
5903802,1,2018,04,09,02,11,12,00103
5903802,1,2018,04,09,05,05,06,00040
5903802,1,2018,04,23,01,02,05,00037
5903802,2,2018,06,26,17,00,22,00252
5903802,1,2018,08,28,12,49,06,00072
5903802,1,2018,09,03,06,48,12,00084
5903802,1,2019,03,11,15,38,05,00024
5903802,2,2019,04,17,14,35,16,00229
5903802,1,2019,05,10,08,50,06,00011
5903802,1,2019,05,25,15,40,06,00061
5903802,1,2019,10,07,08,02,10,00063
5903802,2,2019,11,26,15,09,15,00095
