station,intensity,year,month,day,hour,minute,second,intensity_equip,acceleration_max_comb
8012531,1,2013,05,09,13,30,08. ,13,00063
8012531,2,2013,06,13,22,25,29. ,17,00056
8012531,1,2013,11,08,23,59,51. ,13,00071
8012531,1,2013,11,15,20,26,59. ,09,00043
8012531,2,2013,12,19,22,56,17. ,17,00093
8012531,2,2014,01,28,20,49,42. ,18,00106
8012531,1,2014,02,24,16,27,15. ,11,00048
8012531,3,2014,03,03,05,11,47. ,33,00478
8012531,3,2014,03,03,11,27,39. ,34,00695
8012531,1,2014,03,26,02,19,26. ,10,00091
8012531,2,2014,06,19,15,01,07. ,24,00174
8012531,1,2014,06,27,21,56,32. ,08,00049
8012531,2,2014,07,03,03,00,54. ,17,00130
8012531,2,2014,07,11,22,12,29. ,21,00139
8012531,4,2014,10,15,07,52,18. ,35,00508
