station,intensity,year,month,day,hour,minute,second,intensity_equip,acceleration_max_comb
4311330,1,2000,10,06,13,32,09. ,11,00023
4311330,1,2000,10,31,01,43,42. ,12,00049
4311330,1,2001,02,23,07,24,16. ,12,00078
4311330,1,2001,04,03,23,57,42. ,14,00070
4311330,1,2001,06,01,00,42,16. ,10,00044
4311330,1,2001,09,27,18,15,16. ,05,00049
4311330,2,2004,09,05,19,08,20. ,15,00082
4311330,2,2004,09,05,23,58,42. ,18,00121
4311330,1,2004,09,07,08,30,45. ,08,00039
4311330,1,2005,01,09,18,59,47. ,13,00089
4311330,1,2005,12,24,11,02,16. ,07,00072
4311330,1,2006,12,19,18,33,11. ,06,00110
4311330,1,2007,01,05,03,06,49. ,09,00107
4311330,2,2007,03,25,09,42,51. ,20,00056
4311330,1,2007,04,15,12,20,08. ,11,00037
4311330,1,2007,07,16,10,14,33. ,13,00026
4311330,1,2009,02,18,06,47,34. ,13,00098
4311330,3,2009,08,11,05,07,30. ,28,00206
4311330,1,2010,07,21,06,20,17. ,08,00018
4311330,2,2011,02,27,05,38,12. ,16,00126
4311330,2,2011,03,11,14,49,40. ,23,00063
4311330,1,2011,03,11,15,17,40. ,13,00024
4311330,1,2011,03,15,22,32,10. ,13,00053
4311330,2,2011,08,01,23,58,35. ,17,00052
4311330,3,2011,12,14,13,01,17. ,26,00706
4311330,1,2012,05,05,18,57,03. ,05,00083
4311330,1,2013,02,15,18,19,04. ,07,00058
4311330,1,2014,09,16,12,29,34. ,08,00020
4311330,1,2014,11,22,22,08,40. ,10,00017
4311330,1,2014,12,03,23,20,00. ,12,00148
4311330,2,2015,03,04,00,04,32. ,17,00266
4311330,1,2016,10,21,14,08,53. ,10,00014
4311330,2,2017,06,25,07,02,21. ,24,00357
4311330,1,2017,06,25,09,24,11. ,05,00047
4311330,1,2018,06,18,07,59,24. ,12,00027
4311330,1,2018,10,07,10,14,32. ,08,00057
4311330,1,2019,03,09,01,08,15. ,07,00098
4311330,1,2020,03,21,13,58,40. ,07,00117
4311330,1,2020,08,27,08,55,14. ,05,00179
4311330,1,2020,09,27,13,13,55. ,14,00071
